"SP","N","S","storeClosing","nClosed"
"1981:07:04",-51,95,0,0
"1981:07:14",-54,81,0,0
"1981:07:24",-53,73,0,0
"1981:08:03",-56,67,0,0
"1981:08:13",-61,60,0,0
"1981:08:23",-60,55,0,0
"1981:09:02",-49,51,0,0
"1981:09:12",-50,40,0,0
"1981:09:22",-56,39,0,0
"1981:10:02",-56,35,0,0
"1981:10:12",-50,36,1,1
"1981:10:22",-52,45,0,0
"1981:11:01",-65,52,0,0
"1981:11:11",-60,64,1,1
"1981:11:21",-57,52,0,0
"1981:12:01",-57,48,1,1
"1981:12:11",-62,55,0,0
"1981:12:21",-50,55,0,0
"1981:12:31",-63,67,0,0
"1982:01:10",-59,71,0,0
"1982:01:20",-54,52,0,0
"1982:01:30",-43,39,0,0
"1982:02:09",-41,35,0,0
"1982:02:19",-43,38,0,0
"1982:03:01",-43,36,1,1
"1982:03:11",-44,33,0,0
"1982:03:21",-39,27,0,0
"1982:03:31",-53,43,0,0
"1982:04:10",-63,69,0,0
"1982:04:20",-65,67,1,1
"1982:04:30",-69,67,0,0
"1982:05:10",-75,63,0,0
"1982:05:20",-80,61,0,0
"1982:05:30",-76,51,0,0
"1982:06:09",-86,51,0,0
"1982:06:19",-90,44,0,0
"1982:06:29",-91,37,0,0
"1982:07:09",-89,27,0,0
"1982:07:19",-87,29,1,1
"1982:07:29",-96,37,1,1
"1982:08:08",-95,33,1,1
"1982:08:18",-102,30,0,0
"1982:08:28",-102,31,0,0
"1982:09:07",-104,23,0,0
"1982:09:17",-105,37,0,0
"1982:09:27",-109,53,1,1
"1982:10:07",-111,57,1,1
"1982:10:17",-107,56,0,0
"1982:10:27",-112,59,0,0
"1982:11:06",-112,68,0,0
"1982:11:16",-117,71,0,0
"1982:11:26",-99,78,0,0
"1982:12:06",-89,98,0,0
"1982:12:16",-88,100,0,0
"1982:12:26",-74,88,1,1
"1983:01:05",-70,92,0,0
"1983:01:15",-59,98,0,0
"1983:01:25",-50,88,0,0
"1983:02:04",-63,85,0,0
"1983:02:14",-66,85,0,0
"1983:02:24",-85,89,0,0
"1983:03:06",-54,70,0,0
"1983:03:16",-40,60,0,0
"1983:03:26",-38,52,0,0
"1983:04:05",-40,52,0,0
"1983:04:15",-41,50,1,1
"1983:04:25",-50,54,0,0
"1983:05:05",-57,50,1,1
"1983:05:15",-82,90,0,0
"1983:05:25",-87,104,0,0
"1983:06:04",-102,110,0,0
"1983:06:14",-117,93,0,0
"1983:06:24",-122,96,1,1
"1983:07:04",-129,100,1,1
"1983:07:14",-130,103,0,0
"1983:07:24",-144,94,0,0
"1983:08:03",-143,86,0,0
"1983:08:13",-162,79,0,0
"1983:08:23",-153,74,0,0
"1983:09:02",-156,66,1,1
"1983:09:12",-151,63,1,1
"1983:09:22",-149,59,1,1
"1983:10:02",-137,71,0,0
"1983:10:12",-137,75,0,0
"1983:10:22",-133,86,0,0
"1983:11:01",-134,82,0,0
"1983:11:11",-117,98,0,0
"1983:11:21",-115,111,0,0
"1983:12:01",-117,120,1,1
"1983:12:11",-108,128,1,1
"1983:12:21",-77,124,0,0
"1983:12:31",-88,124,0,0
"1984:01:10",-84,126,0,0
"1984:01:20",-80,134,0,0
"1984:01:30",-70,139,0,0
"1984:02:09",-70,144,0,0
"1984:02:19",-65,144,0,0
"1984:02:29",-63,145,0,0
"1984:03:10",-69,141,0,0
"1984:03:20",-70,146,0,0
"1984:03:30",-71,144,0,0
"1984:04:09",-71,143,0,0
"1984:04:19",-86,136,0,0
"1984:04:29",-87,135,0,0
"1984:05:09",-87,129,1,1
"1984:05:19",-96,123,0,0
"1984:05:29",-107,118,0,0
"1984:06:08",-117,119,0,0
"1984:06:18",-116,117,0,0
"1984:06:28",-126,115,0,0
"1984:07:08",-138,123,0,0
"1984:07:18",-141,124,1,1
"1984:07:28",-141,120,0,0
"1984:08:07",-146,109,1,1
"1984:08:17",-148,102,0,0
"1984:08:27",-156,95,0,0
"1984:09:06",-156,93,0,0
"1984:09:16",-160,99,0,0
"1984:09:26",-156,109,1,1
"1984:10:06",-157,109,0,0
"1984:10:16",-132,117,0,0
"1984:10:26",-128,118,1,1
"1984:11:05",-124,128,0,0
"1984:11:15",-126,123,0,0
"1984:11:25",-119,139,0,0
"1984:12:05",-103,142,0,0
"1984:12:15",-97,152,0,0
"1984:12:25",-95,156,0,0
"1985:01:04",-94,163,0,0
"1985:01:14",-93,174,0,0
"1985:01:24",-80,188,0,0
"1985:02:03",-67,192,0,0
"1985:02:13",-61,188,0,0
"1985:02:23",-64,184,0,0
"1985:03:05",-66,184,0,0
"1985:03:15",-74,182,0,0
"1985:03:25",-70,178,0,0
"1985:04:04",-72,176,0,0
"1985:04:14",-81,181,0,0
"1985:04:24",-92,174,0,0
"1985:05:04",-94,171,0,0
"1985:05:14",-99,164,0,0
"1985:05:24",-107,166,0,0
"1985:06:03",-115,159,1,1
"1985:06:13",-120,154,0,0
"1985:06:23",-124,147,0,0
"1985:07:03",-133,139,0,0
"1985:07:13",-136,129,0,0
"1985:07:23",-142,122,0,0
"1985:08:02",-150,117,0,0
"1985:08:12",-154,107,0,0
"1985:08:22",-154,99,0,0
"1985:09:01",-161,96,0,0
"1985:09:11",-161,92,0,0
"1985:09:21",-156,96,0,0
"1985:10:01",-146,99,0,0
"1985:10:11",-153,103,0,0
"1985:10:21",-152,106,0,0
"1985:10:31",-142,110,1,1
"1985:11:10",-129,122,0,0
"1985:11:20",-122,128,0,0
"1985:11:30",-96,142,0,0
"1985:12:10",-94,154,0,0
"1985:12:20",-95,153,0,0
"1985:12:30",-86,173,0,0
"1986:01:09",-73,176,0,0
"1986:01:19",-70,182,0,0
"1986:01:29",-76,169,0,0
"1986:02:08",-85,176,1,1
"1986:02:18",-80,186,0,0
"1986:02:28",-79,192,0,0
"1986:03:10",-74,185,1,2
"1986:03:20",-77,184,0,0
"1986:03:30",-82,182,0,0
"1986:04:09",-89,183,1,1
"1986:04:19",-93,173,0,0
"1986:04:29",-94,174,0,0
"1986:05:09",-101,170,0,0
"1986:05:19",-107,169,0,0
"1986:05:29",-115,166,1,1
"1986:06:08",-124,152,0,0
"1986:06:18",-128,141,0,0
"1986:06:28",-133,128,0,0
"1986:07:08",-128,130,1,1
"1986:07:18",-137,120,0,0
"1986:07:28",-146,95,0,0
"1986:08:07",-143,91,0,0
"1986:08:17",-132,82,0,0
"1986:08:27",-133,83,0,0
"1986:09:06",-137,91,1,1
"1986:09:16",-147,95,1,1
"1986:09:26",-160,98,0,0
"1986:10:06",-153,99,1,1
"1986:10:16",-146,101,0,0
"1986:10:26",-133,107,0,0
"1986:11:05",-139,112,0,0
"1986:11:15",-136,120,0,0
"1986:11:25",-127,134,0,0
"1986:12:05",-123,137,0,0
"1986:12:15",-109,138,0,0
"1986:12:25",-102,146,0,0
"1987:01:04",-93,150,1,1
"1987:01:14",-98,157,0,0
"1987:01:24",-83,159,0,0
"1987:02:03",-77,167,0,0
"1987:02:13",-79,171,0,0
"1987:02:23",-80,171,1,1
"1987:03:05",-76,184,0,0
"1987:03:15",-83,184,0,0
"1987:03:25",-79,184,0,0
"1987:04:04",-88,169,1,1
"1987:04:14",-89,161,0,0
"1987:04:24",-98,159,1,1
"1987:05:04",-97,158,0,0
"1987:05:14",-102,159,0,0
"1987:05:24",-114,138,0,0
"1987:06:03",-118,134,0,0
"1987:06:13",-121,124,0,0
"1987:06:23",-127,125,1,1
"1987:07:03",-134,106,0,0
"1987:07:13",-138,100,0,0
"1987:07:23",-135,92,0,0
"1987:08:02",-144,74,1,1
"1987:08:12",-140,74,0,0
"1987:08:22",-138,75,0,0
"1987:09:01",-139,60,0,0
"1987:09:11",-144,55,0,0
"1987:09:21",-144,55,0,0
"1987:10:01",-143,60,0,0
"1987:10:11",-139,61,0,0
"1987:10:21",-142,56,0,0
"1987:10:31",-134,74,0,0
"1987:11:10",-131,76,1,1
"1987:11:20",-125,92,1,1
"1987:11:30",-119,86,0,0
"1987:12:10",-104,102,0,0
"1987:12:20",-92,91,0,0
"1987:12:30",-80,113,0,0
"1988:01:09",-62,146,0,0
"1988:01:19",-63,156,0,0
"1988:01:29",-69,152,0,0
"1988:02:08",-70,147,0,0
"1988:02:18",-66,143,0,0
"1988:02:28",-62,149,0,0
"1988:03:09",-65,143,1,1
"1988:03:19",-63,144,0,0
